Model,MAE,RMSE,R2
XGBoost,162859.44998436232,282231.84226946847,0.6369619313640829
Linear Regression,170962.19547662322,302288.12234417914,0.5835313521916032
k-NN Regression,170063.93209452994,315275.7729183859,0.5469758596119305
Random Forest,183627.20598036176,315466.9375939314,0.5464263186988916
PCA + Linear Regression,193755.75152306716,330766.8283425946,0.5013635239394156
PCA + KNN,182407.83666040044,331911.3085873117,0.4979069083046467
